state_theta_1,state_theta_2,state_theta_3,state_theta_4,state_theta_5,state_theta_6,input_u_1,input_u_2,input_u_3,input_u_4,input_u_5,input_u_6
1.8,3.6,0.9,0.0,2.7,0.0,-0.6,-1.2,0.5999999999999999,1.2,-1.2,1.2
2.7,3.6,0.9,0.0,2.7,0.0,-1.2,-1.2,0.5999999999999999,1.2,-1.2,1.2
3.6,3.6,0.9,0.0,2.7,0.0,-1.2,-1.2,0.5999999999999999,1.2,-1.2,1.2
4.5,3.6,0.9,0.0,2.7,0.0,-1.2,-0.6,1.2,1.2,-0.6,1.2
5.4,3.6,0.9,0.0,2.7,0.0,-1.2,0.5999999999999999,1.2,1.2,0.5999999999999999,1.2
0.0,4.5,0.9,0.0,2.7,0.0,1.2,-1.2,1.2,1.2,-0.6,1.2
0.9,4.5,0.9,0.0,2.7,0.0,1.2,-1.2,1.2,1.2,-0.6,1.2
1.8,4.5,0.9,0.0,2.7,0.0,0.5999999999999999,-1.2,1.2,1.2,-0.6,1.2
2.7,4.5,0.9,0.0,2.7,0.0,-0.6,-1.2,1.2,1.2,-0.6,1.2
3.6,4.5,0.9,0.0,2.7,0.0,-1.2,-1.2,1.2,1.2,-0.6,1.2
4.5,4.5,0.9,0.0,2.7,0.0,-1.2,-1.2,1.2,1.2,-0.6,1.2
5.4,4.5,0.9,0.0,2.7,0.0,-1.2,-0.6,1.2,1.2,0.5999999999999999,1.2
0.0,5.4,0.9,0.0,2.7,0.0,1.2,-1.2,1.2,1.2,0.5999999999999999,1.2
0.9,5.4,0.9,0.0,2.7,0.0,1.2,-1.2,1.2,1.2,0.5999999999999999,1.2
1.8,5.4,0.9,0.0,2.7,0.0,1.2,-1.2,1.2,1.2,0.5999999999999999,1.2
2.7,5.4,0.9,0.0,2.7,0.0,0.5999999999999999,-1.2,1.2,1.2,0.5999999999999999,1.2
3.6,5.4,0.9,0.0,2.7,0.0,-0.6,-1.2,1.2,1.2,0.5999999999999999,1.2
4.5,5.4,0.9,0.0,2.7,0.0,-1.2,-1.2,1.2,1.2,0.5999999999999999,1.2
5.4,5.4,0.9,0.0,2.7,0.0,-1.2,-1.2,1.2,1.2,0.5999999999999999,1.2
0.0,0.0,1.8,0.0,2.7,0.0,1.2,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
0.9,0.0,1.8,0.0,2.7,0.0,0.5999999999999999,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
1.8,0.0,1.8,0.0,2.7,0.0,-0.6,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,0.0,1.8,0.0,2.7,0.0,-1.2,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,0.0,1.8,0.0,2.7,0.0,-1.2,1.2,-0.6,1.2,-1.2,1.2
4.5,0.0,1.8,0.0,2.7,0.0,-1.2,1.2,0.5999999999999999,1.2,-0.6,1.2
5.4,0.0,1.8,0.0,2.7,0.0,-1.2,1.2,1.2,1.2,0.5999999999999999,1.2
0.0,0.9,1.8,0.0,2.7,0.0,1.2,0.5999999999999999,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,0.9,1.8,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,0.9,1.8,0.0,2.7,0.0,-1.2,1.2,-0.6,1.2,-1.2,1.2
4.5,0.9,1.8,0.0,2.7,0.0,-1.2,1.2,0.5999999999999999,1.2,-0.6,1.2
5.4,0.9,1.8,0.0,2.7,0.0,-1.2,1.2,1.2,1.2,0.5999999999999999,1.2
0.0,1.8,1.8,0.0,2.7,0.0,1.2,-0.6,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,1.8,1.8,0.0,2.7,0.0,-1.2,-0.6,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,1.8,1.8,0.0,2.7,0.0,-1.2,0.5999999999999999,-0.6,1.2,-1.2,1.2
4.5,1.8,1.8,0.0,2.7,0.0,-1.2,1.2,0.5999999999999999,1.2,-0.6,1.2
5.4,1.8,1.8,0.0,2.7,0.0,-1.2,1.2,1.2,1.2,0.5999999999999999,1.2
0.0,2.7,1.8,0.0,2.7,0.0,1.2,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
0.9,2.7,1.8,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
1.8,2.7,1.8,0.0,2.7,0.0,-0.6,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,2.7,1.8,0.0,2.7,0.0,-1.2,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,2.7,1.8,0.0,2.7,0.0,-1.2,-0.6,-0.6,1.2,-1.2,1.2
4.5,2.7,1.8,0.0,2.7,0.0,-1.2,0.5999999999999999,0.5999999999999999,1.2,-0.6,1.2
5.4,2.7,1.8,0.0,2.7,0.0,-1.2,1.2,1.2,1.2,0.5999999999999999,1.2
0.0,3.6,1.8,0.0,2.7,0.0,1.2,-1.2,-0.6,1.2,-1.2,1.2
0.9,3.6,1.8,0.0,2.7,0.0,0.5999999999999999,-1.2,-0.6,1.2,-1.2,1.2
1.8,3.6,1.8,0.0,2.7,0.0,-0.6,-1.2,-0.6,1.2,-1.2,1.2
2.7,3.6,1.8,0.0,2.7,0.0,-1.2,-1.2,-0.6,1.2,-1.2,1.2
3.6,3.6,1.8,0.0,2.7,0.0,-1.2,-1.2,-0.6,1.2,-1.2,1.2
4.5,3.6,1.8,0.0,2.7,0.0,-1.2,-0.6,0.5999999999999999,1.2,-0.6,1.2
5.4,3.6,1.8,0.0,2.7,0.0,-1.2,0.5999999999999999,1.2,1.2,0.5999999999999999,1.2
0.0,4.5,1.8,0.0,2.7,0.0,1.2,-1.2,0.5999999999999999,1.2,-0.6,1.2
0.9,4.5,1.8,0.0,2.7,0.0,1.2,-1.2,0.5999999999999999,1.2,-0.6,1.2
1.8,4.5,1.8,0.0,2.7,0.0,0.5999999999999999,-1.2,0.5999999999999999,1.2,-0.6,1.2
2.7,4.5,1.8,0.0,2.7,0.0,-0.6,-1.2,0.5999999999999999,1.2,-0.6,1.2
3.6,4.5,1.8,0.0,2.7,0.0,-1.2,-1.2,0.5999999999999999,1.2,-0.6,1.2
4.5,4.5,1.8,0.0,2.7,0.0,-1.2,-1.2,0.5999999999999999,1.2,-0.6,1.2
5.4,4.5,1.8,0.0,2.7,0.0,-1.2,-0.6,1.2,1.2,0.5999999999999999,1.2
0.0,5.4,1.8,0.0,2.7,0.0,1.2,-1.2,1.2,1.2,0.5999999999999999,1.2
0.9,5.4,1.8,0.0,2.7,0.0,1.2,-1.2,1.2,1.2,0.5999999999999999,1.2
1.8,5.4,1.8,0.0,2.7,0.0,1.2,-1.2,1.2,1.2,0.5999999999999999,1.2
2.7,5.4,1.8,0.0,2.7,0.0,0.5999999999999999,-1.2,1.2,1.2,0.5999999999999999,1.2
3.6,5.4,1.8,0.0,2.7,0.0,-0.6,-1.2,1.2,1.2,0.5999999999999999,1.2
4.5,5.4,1.8,0.0,2.7,0.0,-1.2,-1.2,1.2,1.2,0.5999999999999999,1.2
5.4,5.4,1.8,0.0,2.7,0.0,-1.2,-1.2,1.2,1.2,0.5999999999999999,1.2
0.0,0.0,2.7,0.0,2.7,0.0,1.2,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
0.9,0.0,2.7,0.0,2.7,0.0,0.5999999999999999,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
1.8,0.0,2.7,0.0,2.7,0.0,-0.6,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,0.0,2.7,0.0,2.7,0.0,-1.2,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,0.0,2.7,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-1.2,1.2
4.5,0.0,2.7,0.0,2.7,0.0,-1.2,1.2,-0.6,1.2,-0.6,1.2
5.4,0.0,2.7,0.0,2.7,0.0,-1.2,1.2,0.5999999999999999,1.2,0.5999999999999999,1.2
0.0,0.9,2.7,0.0,2.7,0.0,1.2,0.5999999999999999,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,0.9,2.7,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,0.9,2.7,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-1.2,1.2
4.5,0.9,2.7,0.0,2.7,0.0,-1.2,1.2,-0.6,1.2,-0.6,1.2
5.4,0.9,2.7,0.0,2.7,0.0,-1.2,1.2,0.5999999999999999,1.2,0.5999999999999999,1.2
0.0,1.8,2.7,0.0,2.7,0.0,1.2,-0.6,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,1.8,2.7,0.0,2.7,0.0,-1.2,-0.6,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,1.8,2.7,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,1.2,-1.2,1.2
4.5,1.8,2.7,0.0,2.7,0.0,-1.2,1.2,-0.6,1.2,-0.6,1.2
5.4,1.8,2.7,0.0,2.7,0.0,-1.2,1.2,0.5999999999999999,1.2,0.5999999999999999,1.2
0.0,2.7,2.7,0.0,2.7,0.0,1.2,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
0.9,2.7,2.7,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
1.8,2.7,2.7,0.0,2.7,0.0,-0.6,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,2.7,2.7,0.0,2.7,0.0,-1.2,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,2.7,2.7,0.0,2.7,0.0,-1.2,-0.6,-1.2,1.2,-1.2,1.2
4.5,2.7,2.7,0.0,2.7,0.0,-1.2,0.5999999999999999,-0.6,1.2,-0.6,1.2
5.4,2.7,2.7,0.0,2.7,0.0,-1.2,1.2,0.5999999999999999,1.2,0.5999999999999999,1.2
0.0,3.6,2.7,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,-1.2,1.2
0.9,3.6,2.7,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,1.2,-1.2,1.2
1.8,3.6,2.7,0.0,2.7,0.0,-0.6,-1.2,-1.2,1.2,-1.2,1.2
2.7,3.6,2.7,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-1.2,1.2
3.6,3.6,2.7,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-1.2,1.2
4.5,3.6,2.7,0.0,2.7,0.0,-1.2,-0.6,-0.6,1.2,-0.6,1.2
5.4,3.6,2.7,0.0,2.7,0.0,-1.2,0.5999999999999999,0.5999999999999999,1.2,0.5999999999999999,1.2
0.0,4.5,2.7,0.0,2.7,0.0,1.2,-1.2,-0.6,1.2,-0.6,1.2
0.9,4.5,2.7,0.0,2.7,0.0,1.2,-1.2,-0.6,1.2,-0.6,1.2
1.8,4.5,2.7,0.0,2.7,0.0,0.5999999999999999,-1.2,-0.6,1.2,-0.6,1.2
2.7,4.5,2.7,0.0,2.7,0.0,-0.6,-1.2,-0.6,1.2,-0.6,1.2
3.6,4.5,2.7,0.0,2.7,0.0,-1.2,-1.2,-0.6,1.2,-0.6,1.2
4.5,4.5,2.7,0.0,2.7,0.0,-1.2,-1.2,-0.6,1.2,-0.6,1.2
5.4,4.5,2.7,0.0,2.7,0.0,-1.2,-0.6,0.5999999999999999,1.2,0.5999999999999999,1.2
0.0,5.4,2.7,0.0,2.7,0.0,1.2,-1.2,0.5999999999999999,1.2,0.5999999999999999,1.2
0.9,5.4,2.7,0.0,2.7,0.0,1.2,-1.2,0.5999999999999999,1.2,0.5999999999999999,1.2
1.8,5.4,2.7,0.0,2.7,0.0,1.2,-1.2,0.5999999999999999,1.2,0.5999999999999999,1.2
2.7,5.4,2.7,0.0,2.7,0.0,0.5999999999999999,-1.2,0.5999999999999999,1.2,0.5999999999999999,1.2
3.6,5.4,2.7,0.0,2.7,0.0,-0.6,-1.2,0.5999999999999999,1.2,0.5999999999999999,1.2
4.5,5.4,2.7,0.0,2.7,0.0,-1.2,-1.2,0.5999999999999999,1.2,0.5999999999999999,1.2
5.4,5.4,2.7,0.0,2.7,0.0,-1.2,-1.2,0.5999999999999999,1.2,0.5999999999999999,1.2
0.0,0.0,3.6,0.0,2.7,0.0,1.2,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
0.9,0.0,3.6,0.0,2.7,0.0,0.5999999999999999,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
1.8,0.0,3.6,0.0,2.7,0.0,-0.6,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,0.0,3.6,0.0,2.7,0.0,-1.2,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,0.0,3.6,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-1.2,1.2
4.5,0.0,3.6,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-0.6,1.2
5.4,0.0,3.6,0.0,2.7,0.0,-1.2,1.2,-0.6,1.2,0.5999999999999999,1.2
0.0,0.9,3.6,0.0,2.7,0.0,1.2,0.5999999999999999,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,0.9,3.6,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,0.9,3.6,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-1.2,1.2
4.5,0.9,3.6,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-0.6,1.2
5.4,0.9,3.6,0.0,2.7,0.0,-1.2,1.2,-0.6,1.2,0.5999999999999999,1.2
0.0,1.8,3.6,0.0,2.7,0.0,1.2,-0.6,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,1.8,3.6,0.0,2.7,0.0,-1.2,-0.6,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,1.8,3.6,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,1.2,-1.2,1.2
4.5,1.8,3.6,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-0.6,1.2
5.4,1.8,3.6,0.0,2.7,0.0,-1.2,1.2,-0.6,1.2,0.5999999999999999,1.2
0.0,2.7,3.6,0.0,2.7,0.0,1.2,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
0.9,2.7,3.6,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
1.8,2.7,3.6,0.0,2.7,0.0,-0.6,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,2.7,3.6,0.0,2.7,0.0,-1.2,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,2.7,3.6,0.0,2.7,0.0,-1.2,-0.6,-1.2,1.2,-1.2,1.2
4.5,2.7,3.6,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,1.2,-0.6,1.2
5.4,2.7,3.6,0.0,2.7,0.0,-1.2,1.2,-0.6,1.2,0.5999999999999999,1.2
0.0,3.6,3.6,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,-1.2,1.2
0.9,3.6,3.6,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,1.2,-1.2,1.2
1.8,3.6,3.6,0.0,2.7,0.0,-0.6,-1.2,-1.2,1.2,-1.2,1.2
2.7,3.6,3.6,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-1.2,1.2
3.6,3.6,3.6,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-1.2,1.2
4.5,3.6,3.6,0.0,2.7,0.0,-1.2,-0.6,-1.2,1.2,-0.6,1.2
5.4,3.6,3.6,0.0,2.7,0.0,-1.2,0.5999999999999999,-0.6,1.2,0.5999999999999999,1.2
0.0,4.5,3.6,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,-0.6,1.2
0.9,4.5,3.6,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,-0.6,1.2
1.8,4.5,3.6,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,1.2,-0.6,1.2
2.7,4.5,3.6,0.0,2.7,0.0,-0.6,-1.2,-1.2,1.2,-0.6,1.2
3.6,4.5,3.6,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-0.6,1.2
4.5,4.5,3.6,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-0.6,1.2
5.4,4.5,3.6,0.0,2.7,0.0,-1.2,-0.6,-0.6,1.2,0.5999999999999999,1.2
0.0,5.4,3.6,0.0,2.7,0.0,1.2,-1.2,-0.6,1.2,0.5999999999999999,1.2
0.9,5.4,3.6,0.0,2.7,0.0,1.2,-1.2,-0.6,1.2,0.5999999999999999,1.2
1.8,5.4,3.6,0.0,2.7,0.0,1.2,-1.2,-0.6,1.2,0.5999999999999999,1.2
2.7,5.4,3.6,0.0,2.7,0.0,0.5999999999999999,-1.2,-0.6,1.2,0.5999999999999999,1.2
3.6,5.4,3.6,0.0,2.7,0.0,-0.6,-1.2,-0.6,1.2,0.5999999999999999,1.2
4.5,5.4,3.6,0.0,2.7,0.0,-1.2,-1.2,-0.6,1.2,0.5999999999999999,1.2
5.4,5.4,3.6,0.0,2.7,0.0,-1.2,-1.2,-0.6,1.2,0.5999999999999999,1.2
0.0,0.0,4.5,0.0,2.7,0.0,1.2,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
0.9,0.0,4.5,0.0,2.7,0.0,0.5999999999999999,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
1.8,0.0,4.5,0.0,2.7,0.0,-0.6,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,0.0,4.5,0.0,2.7,0.0,-1.2,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,0.0,4.5,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-1.2,1.2
4.5,0.0,4.5,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-0.6,1.2
5.4,0.0,4.5,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,0.5999999999999999,1.2
0.0,0.9,4.5,0.0,2.7,0.0,1.2,0.5999999999999999,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,0.9,4.5,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,0.9,4.5,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-1.2,1.2
4.5,0.9,4.5,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-0.6,1.2
5.4,0.9,4.5,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,0.5999999999999999,1.2
0.0,1.8,4.5,0.0,2.7,0.0,1.2,-0.6,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,1.8,4.5,0.0,2.7,0.0,-1.2,-0.6,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,1.8,4.5,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,1.2,-1.2,1.2
4.5,1.8,4.5,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-0.6,1.2
5.4,1.8,4.5,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,0.5999999999999999,1.2
0.0,2.7,4.5,0.0,2.7,0.0,1.2,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
0.9,2.7,4.5,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
1.8,2.7,4.5,0.0,2.7,0.0,-0.6,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,2.7,4.5,0.0,2.7,0.0,-1.2,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,2.7,4.5,0.0,2.7,0.0,-1.2,-0.6,-1.2,1.2,-1.2,1.2
4.5,2.7,4.5,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,1.2,-0.6,1.2
5.4,2.7,4.5,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,0.5999999999999999,1.2
0.0,3.6,4.5,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,-1.2,1.2
0.9,3.6,4.5,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,1.2,-1.2,1.2
1.8,3.6,4.5,0.0,2.7,0.0,-0.6,-1.2,-1.2,1.2,-1.2,1.2
2.7,3.6,4.5,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-1.2,1.2
3.6,3.6,4.5,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-1.2,1.2
4.5,3.6,4.5,0.0,2.7,0.0,-1.2,-0.6,-1.2,1.2,-0.6,1.2
5.4,3.6,4.5,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,1.2,0.5999999999999999,1.2
0.0,4.5,4.5,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,-0.6,1.2
0.9,4.5,4.5,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,-0.6,1.2
1.8,4.5,4.5,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,1.2,-0.6,1.2
2.7,4.5,4.5,0.0,2.7,0.0,-0.6,-1.2,-1.2,1.2,-0.6,1.2
3.6,4.5,4.5,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-0.6,1.2
4.5,4.5,4.5,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-0.6,1.2
5.4,4.5,4.5,0.0,2.7,0.0,-1.2,-0.6,-1.2,1.2,0.5999999999999999,1.2
0.0,5.4,4.5,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,0.5999999999999999,1.2
0.9,5.4,4.5,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,0.5999999999999999,1.2
1.8,5.4,4.5,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,0.5999999999999999,1.2
2.7,5.4,4.5,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,1.2,0.5999999999999999,1.2
3.6,5.4,4.5,0.0,2.7,0.0,-0.6,-1.2,-1.2,1.2,0.5999999999999999,1.2
4.5,5.4,4.5,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,0.5999999999999999,1.2
5.4,5.4,4.5,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,0.5999999999999999,1.2
0.0,0.0,5.4,0.0,2.7,0.0,1.2,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
0.9,0.0,5.4,0.0,2.7,0.0,0.5999999999999999,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
1.8,0.0,5.4,0.0,2.7,0.0,-0.6,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,0.0,5.4,0.0,2.7,0.0,-1.2,1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,0.0,5.4,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-1.2,1.2
4.5,0.0,5.4,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-0.6,1.2
5.4,0.0,5.4,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,0.5999999999999999,1.2
0.0,0.9,5.4,0.0,2.7,0.0,1.2,0.5999999999999999,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,0.9,5.4,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,0.9,5.4,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-1.2,1.2
4.5,0.9,5.4,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-0.6,1.2
5.4,0.9,5.4,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,0.5999999999999999,1.2
0.0,1.8,5.4,0.0,2.7,0.0,1.2,-0.6,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,1.8,5.4,0.0,2.7,0.0,-1.2,-0.6,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,1.8,5.4,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,1.2,-1.2,1.2
4.5,1.8,5.4,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,-0.6,1.2
5.4,1.8,5.4,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,0.5999999999999999,1.2
0.0,2.7,5.4,0.0,2.7,0.0,1.2,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
0.9,2.7,5.4,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
1.8,2.7,5.4,0.0,2.7,0.0,-0.6,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
2.7,2.7,5.4,0.0,2.7,0.0,-1.2,-1.2,-1.2,0.5999999999999999,-1.2,0.5999999999999999
3.6,2.7,5.4,0.0,2.7,0.0,-1.2,-0.6,-1.2,1.2,-1.2,1.2
4.5,2.7,5.4,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,1.2,-0.6,1.2
5.4,2.7,5.4,0.0,2.7,0.0,-1.2,1.2,-1.2,1.2,0.5999999999999999,1.2
0.0,3.6,5.4,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,-1.2,1.2
0.9,3.6,5.4,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,1.2,-1.2,1.2
1.8,3.6,5.4,0.0,2.7,0.0,-0.6,-1.2,-1.2,1.2,-1.2,1.2
2.7,3.6,5.4,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-1.2,1.2
3.6,3.6,5.4,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-1.2,1.2
4.5,3.6,5.4,0.0,2.7,0.0,-1.2,-0.6,-1.2,1.2,-0.6,1.2
5.4,3.6,5.4,0.0,2.7,0.0,-1.2,0.5999999999999999,-1.2,1.2,0.5999999999999999,1.2
0.0,4.5,5.4,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,-0.6,1.2
0.9,4.5,5.4,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,-0.6,1.2
1.8,4.5,5.4,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,1.2,-0.6,1.2
2.7,4.5,5.4,0.0,2.7,0.0,-0.6,-1.2,-1.2,1.2,-0.6,1.2
3.6,4.5,5.4,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-0.6,1.2
4.5,4.5,5.4,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,-0.6,1.2
5.4,4.5,5.4,0.0,2.7,0.0,-1.2,-0.6,-1.2,1.2,0.5999999999999999,1.2
0.0,5.4,5.4,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,0.5999999999999999,1.2
0.9,5.4,5.4,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,0.5999999999999999,1.2
1.8,5.4,5.4,0.0,2.7,0.0,1.2,-1.2,-1.2,1.2,0.5999999999999999,1.2
2.7,5.4,5.4,0.0,2.7,0.0,0.5999999999999999,-1.2,-1.2,1.2,0.5999999999999999,1.2
3.6,5.4,5.4,0.0,2.7,0.0,-0.6,-1.2,-1.2,1.2,0.5999999999999999,1.2
4.5,5.4,5.4,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,0.5999999999999999,1.2
5.4,5.4,5.4,0.0,2.7,0.0,-1.2,-1.2,-1.2,1.2,0.5999999999999999,1.2
0.0,0.0,0.0,0.9,2.7,0.0,1.2,1.2,0.5999999999999999,-0.6,-1.2,0.5999999999999999
0.9,0.0,0.0,0.9,2.7,0.0,0.5999999999999999,1.2,0.5999999999999999,-0.6,-1.2,0.5999999999999999
